# MD(mKB)	Incl(deg)	Azm(deg)	Grav(g)	Mag(Gs)	DipA(deg)	TVD(mKB)	VS(m)	NS(m)	EW(m)	DLS(deg/30m)	SS(m)	Status
4833.46	89.14	131.81				2437.55	2482.51	-1295.64	2119.89	2.54	-1649.71	OK
4860.59	88.46	131.85				2438.12	2509.36	-1313.73	2140.10	0.75	-1650.28	OK
4887.79	88.86	131.38				2438.75	2536.30	-1331.78	2160.43	0.68	-1650.91	OK
4914.97	88.15	130.91				2439.46	2563.24	-1349.66	2180.89	0.94	-1651.62	OK
4942.14	87.23	130.28				2440.56	2590.19	-1367.33	2201.51	1.23	-1652.72	OK
4969.33	88.12	130.79				2441.66	2617.17	-1384.98	2222.15	1.13	-1653.82	OK
4996.56	89.17	131.33				2442.31	2644.16	-1402.86	2242.68	1.30	-1654.47	OK
5023.81	88.15	131.27				2442.94	2671.17	-1420.84	2263.15	1.12	-1655.10	OK
5050.99	89.97	129.68				2443.39	2698.15	-1438.48	2283.82	2.67	-1655.55	OK
5078.15	89.08	128.31				2443.61	2725.20	-1455.57	2304.92	1.80	-1655.77	OK
5105.28	91.45	128.78				2443.49	2752.23	-1472.48	2326.14	2.67	-1655.65	OK
5132.54	91.11	129.48				2442.88	2779.36	-1489.68	2347.28	0.86	-1655.04	OK
5159.70	89.78	130.77				2442.67	2806.35	-1507.18	2368.05	2.05	-1654.83	OK
5186.96	89.29	131.06				2442.89	2833.39	-1525.03	2388.65	0.63	-1655.05	OK
5214.14	88.40	130.79				2443.44	2860.35	-1542.83	2409.18	1.03	-1655.60	OK
5241.46	88.86	130.80				2444.09	2887.45	-1560.68	2429.86	0.51	-1656.25	OK
5268.75	87.78	129.70				2444.89	2914.55	-1578.30	2450.67	1.69	-1657.05	OK
5296.06	91.29	130.38				2445.11	2941.69	-1595.87	2471.58	3.93	-1657.27	OK
5323.44	88.58	129.22				2445.14	2968.91	-1613.39	2492.61	3.23	-1657.30	OK
5350.78	89.35	130.11				2445.64	2996.10	-1630.84	2513.65	1.29	-1657.80	OK
5378.03	89.01	130.04				2446.03	3023.18	-1648.38	2534.50	0.38	-1658.19	OK
5405.23	88.83	130.43				2446.54	3050.20	-1665.95	2555.27	0.47	-1658.70	OK
5432.46	89.82	131.56				2446.86	3077.21	-1683.81	2575.82	1.66	-1659.02	OK
5459.74	89.75	131.98				2446.96	3104.22	-1701.98	2596.16	0.47	-1659.12	OK
5486.99	89.66	131.90				2447.10	3131.19	-1720.19	2616.43	0.13	-1659.26	OK
5514.24	91.57	131.97				2446.81	3158.15	-1738.40	2636.70	2.10	-1658.97	OK
5541.54	92.00	131.27				2445.96	3185.18	-1756.52	2657.10	0.90	-1658.12	OK
5568.79	91.17	131.12				2445.21	3212.19	-1774.46	2677.60	0.93	-1657.37	OK
5596.00	88.74	130.59				2445.23	3239.18	-1792.26	2698.17	2.74	-1657.39	OK
5623.12	88.92	131.33				2445.78	3266.08	-1810.04	2718.65	0.84	-1657.94	OK
5642.75	88.59	130.84				2446.21	3285.54	-1822.93	2733.44	0.90	-1658.37	OK
5660.00	88.59	130.84				2446.63	3302.65	-1834.21	2746.49	0.00	-1658.79	OK
# EOF
