# MD(mKB)	Incl(deg)	Azm(deg)	Grav(g)	Mag(Gs)	DipA(deg)	TVD(mKB)	VS(m)	NS(m)	EW(m)	DLS(deg/30m)	SS(m)	Status
5493.56	88.83	1.20				2518.75	3042.24	3040.40	-105.91	1.67	-1721.82	OK
5520.85	88.03	0.83				2519.50	3069.48	3067.67	-105.43	0.97	-1722.57	OK
5548.04	89.23	0.46				2520.15	3096.64	3094.85	-105.12	1.39	-1723.22	OK
5575.35	90.00	359.35				2520.34	3123.93	3122.16	-105.16	1.48	-1723.41	OK
5602.61	90.71	358.61				2520.17	3151.19	3149.42	-105.65	1.13	-1723.24	OK
5629.82	90.37	358.92				2519.91	3178.39	3176.62	-106.24	0.51	-1722.98	OK
5657.07	90.49	358.72				2519.71	3205.64	3203.86	-106.80	0.26	-1722.78	OK
5683.74	90.74	358.03				2519.42	3232.31	3230.52	-107.55	0.83	-1722.49	OK
5701.00	90.74	359.03				2519.20	3249.57	3247.77	-108.00	1.74	-1722.27	OK
# EOF
