Hole Depth,Bit Depth,On Bottom,On Bottom Hours,On Bottom ROP,Mechanical Specific Energy,Block Height,Hook Load,Trip Speed,Weight on Bit,Differential Pressure,Rotary RPM,Rotary Torque,Total Pump Output,Standpipe Pressure,Gamma,Inclination,Azimuth,Tool Face,Magnetic Toolface,Gravity Toolface,Rig Sub State,Bit Depth,MWD Continuous Azi,MWD Continuous Inc,MWD TEMP (deg),Rate Of Penetration,Time Of Penetration,YYYY/MM/DD,HH:MM:SS
5565.00,5555.28,0,76.0,0.00,-999.25,4.9,16.2,0.00,0.0,-23170.9,0,0.000,0.00,0,-999.25,89.26,2.06,134.75,94.67,134.75,0.00,5555.28,0.00,3735.00,98.440,0.00,0.00,2023/04/03,16:43:00
5565.00,5555.28,0,76.0,0.00,-999.25,4.9,16.2,0.00,0.0,-23170.9,0,0.000,0.00,0,-999.25,89.26,2.06,134.75,94.67,134.75,0.00,5555.28,0.00,3735.00,98.440,0.00,0.00,2023/04/03,16:43:10
5565.00,5555.28,0,76.0,0.00,-999.25,4.9,16.3,0.00,0.0,-23170.9,0,0.000,0.00,0,-999.25,89.26,2.06,134.75,94.67,134.75,0.00,5555.28,0.00,3735.00,98.440,0.00,0.00,2023/04/03,16:43:20
5565.00,5555.28,0,76.0,0.00,-999.25,4.9,16.3,0.00,0.0,-23170.9,0,0.000,0.00,0,-999.25,89.26,2.06,134.75,94.67,134.75,0.00,5555.28,0.00,3735.00,98.440,0.00,0.00,2023/04/03,16:43:30
5565.00,5555.28,0,76.0,0.00,-999.25,4.9,16.2,0.00,0.0,-23170.9,0,0.000,0.00,0,-999.25,89.26,2.06,134.75,94.67,134.75,0.00,5555.28,0.00,3735.00,98.440,0.00,0.00,2023/04/03,16:43:40
5565.00,5555.28,0,76.0,0.00,-999.25,4.9,16.2,0.00,0.0,-23170.9,0,0.000,0.00,0,-999.25,89.26,2.06,134.75,94.67,134.75,0.00,5555.28,0.00,3735.00,98.440,0.00,0.00,2023/04/03,16:43:50
5565.00,5555.28,0,76.0,0.00,-999.25,4.9,16.2,0.00,0.0,-23170.9,0,1710.170,0.00,0,-999.25,89.26,2.06,134.75,94.67,134.75,0.00,5555.28,0.00,3735.00,98.440,0.00,0.00,2023/04/03,16:44:00
5565.00,5555.28,0,76.0,0.00,-999.25,4.9,16.2,0.00,0.0,-23170.9,0,527.036,0.00,0,-999.25,89.26,2.06,134.75,94.67,134.75,-999.25,5555.28,0.00,3735.00,98.440,0.00,0.00,2023/04/03,16:44:10
5565.00,5555.28,0,76.0,0.00,-999.25,4.9,16.2,0.00,0.0,-23170.9,0,7295.310,0.00,0,-999.25,89.26,2.06,134.75,94.67,134.75,-999.25,5555.28,0.00,3735.00,98.440,0.00,0.00,2023/04/03,16:44:20
5565.00,5555.28,0,76.0,0.00,-999.25,4.9,16.2,0.00,0.0,-23170.9,0,9830.600,0.00,0,-999.25,89.26,2.06,134.75,94.67,134.75,-999.25,5555.28,0.00,3735.00,98.440,0.00,0.00,2023/04/03,16:44:30
5565.00,5555.28,0,76.0,0.00,-999.25,4.9,16.2,0.00,0.0,-23170.9,0,9890.690,0.00,0,-999.25,89.26,2.06,134.75,94.67,134.75,0.00,5555.28,0.00,3735.00,98.440,0.00,0.00,2023/04/03,16:44:40
5565.00,5555.28,0,76.0,0.00,-999.25,4.9,16.2,0.00,0.0,-23170.9,0,9890.690,0.00,0,-999.25,89.26,2.06,134.75,94.67,134.75,0.00,5555.28,0.00,3735.00,98.440,0.00,0.00,2023/04/03,16:44:50
5565.00,5555.28,0,76.0,0.00,-999.25,4.9,16.2,0.00,0.0,-23170.9,0,9766.740,0.00,0,-999.25,89.26,2.06,134.75,94.67,134.75,0.00,5555.28,0.00,3735.00,98.440,0.00,0.00,2023/04/03,16:45:00
5565.00,5555.28,0,76.0,0.00,-999.25,4.9,16.3,0.00,0.0,-23170.9,0,9481.290,0.00,0,-999.25,89.26,2.06,134.75,94.67,134.75,0.00,5555.28,0.00,3735.00,98.440,0.00,0.00,2023/04/03,16:45:10
5565.00,5555.28,0,76.0,0.00,-999.25,4.9,16.2,0.00,0.0,-23170.9,0,9875.670,0.00,0,-999.25,89.26,2.06,134.75,94.67,134.75,0.00,5555.28,0.00,3735.00,98.440,0.00,0.00,2023/04/03,16:45:20
5565.00,5555.28,0,76.0,0.00,-999.25,4.9,16.2,0.00,0.0,-23170.9,0,9736.700,0.00,0,-999.25,89.26,2.06,134.75,94.67,134.75,0.00,5555.28,0.00,3735.00,98.440,0.00,0.00,2023/04/03,16:45:30
5565.00,5555.28,0,76.0,0.00,-999.25,4.9,16.2,0.00,0.0,-23170.9,0,9875.670,0.00,0,-999.25,89.26,2.06,134.75,94.67,134.75,0.00,5555.28,0.00,3735.00,98.440,0.00,0.00,2023/04/03,16:45:40
5565.00,5555.28,0,76.0,0.00,-999.25,4.9,16.2,0.00,0.0,-23170.9,0,9770.500,0.00,0,-999.25,89.26,2.06,134.75,94.67,134.75,0.00,5555.28,0.00,3735.00,98.440,0.00,0.00,2023/04/03,16:45:50
5565.00,5555.28,0,76.0,0.00,-999.25,4.9,16.2,0.00,0.0,-23170.9,0,9890.690,0.00,0,-999.25,89.26,2.06,134.75,94.67,134.75,0.00,5555.28,0.00,3735.00,98.440,0.00,0.00,2023/04/03,16:46:00
5565.00,5555.28,0,76.0,0.00,-999.25,4.9,16.2,0.00,0.0,-23170.9,0,9890.690,0.00,0,-999.25,89.26,2.06,134.75,94.67,134.75,0.00,5555.28,0.00,3735.00,98.440,0.00,0.00,2023/04/03,16:46:10
5565.00,5555.28,0,76.0,0.00,-999.25,4.9,16.2,0.00,0.0,-23170.9,0,9890.690,0.00,0,-999.25,89.26,2.06,134.75,94.67,134.75,0.00,5555.28,0.00,3735.00,98.440,0.00,0.00,2023/04/03,16:46:20
5565.00,5555.28,0,76.0,0.00,-999.25,4.9,16.2,0.00,0.0,-23170.9,0,1875.430,0.00,0,-999.25,89.26,2.06,134.75,94.67,134.75,0.00,5555.28,0.00,3735.00,98.440,0.00,0.00,2023/04/03,16:46:30
5565.00,5555.28,0,76.0,0.00,-999.25,4.9,16.2,0.00,0.0,-23170.9,0,865.075,0.00,0,-999.25,89.26,2.06,134.75,94.67,134.75,0.00,5555.28,0.00,3735.00,98.440,0.00,0.00,2023/04/03,16:46:40
5565.00,5555.28,0,76.0,0.00,-999.25,4.9,16.2,0.00,0.0,-23170.9,0,0.000,0.00,0,-999.25,89.26,2.06,134.75,94.67,134.75,0.00,5555.28,0.00,3735.00,98.440,0.00,0.00,2023/04/03,16:46:50
5565.00,5555.28,0,76.0,0.00,-999.25,4.9,16.2,0.00,0.0,-23170.9,0,0.000,0.00,0,-999.25,89.26,2.06,134.75,94.67,134.75,0.00,5555.28,0.00,3735.00,98.440,0.00,0.00,2023/04/03,16:47:00
5565.00,5555.28,0,76.0,0.00,-999.25,4.9,16.2,0.00,0.0,-23170.9,0,0.000,0.00,0,-999.25,89.26,2.06,134.75,94.67,134.75,0.00,5555.28,0.00,3735.00,98.440,0.00,0.00,2023/04/03,16:47:10
5565.00,5555.28,0,76.0,0.00,-999.25,4.9,16.2,0.00,0.0,-23170.9,0,0.000,0.00,0,-999.25,89.26,2.06,134.75,94.67,134.75,0.00,5555.28,0.00,3735.00,98.440,0.00,0.00,2023/04/03,16:47:20
5565.00,5555.28,0,76.0,0.00,-999.25,4.9,16.2,0.00,0.0,-23170.9,0,0.000,0.00,0,-999.25,89.26,2.06,134.75,94.67,134.75,0.00,5555.28,0.00,3735.00,98.440,0.00,0.00,2023/04/03,16:47:30
5565.00,5555.28,0,76.0,0.00,-999.25,4.9,16.2,0.00,0.0,-23170.9,0,0.000,0.00,0,-999.25,89.26,2.06,134.75,94.67,134.75,0.00,5555.28,0.00,3735.00,98.440,0.00,0.00,2023/04/03,16:47:40
